Rank,Title,Year,Rating,Genre,Director,URL
65,Witness for the Prosecution,1957,8.4,"Legal Drama, Legal Thriller, Whodunnit",Billy Wilder,https://www.imdb.com/title/tt0051201/?ref_=chttp_i_65
66,The Shining,1980,8.4,"Dark Comedy, Psychological Drama, Psychological Horror",Stanley Kubrick,https://www.imdb.com/title/tt0081505/?ref_=chttp_i_66
67,The Great Dictator,1940,8.4,"Parody, Satire, Slapstick",Charles Chaplin,https://www.imdb.com/title/tt0032553/?ref_=chttp_i_67
68,12th Fail,2023,8.8,"Docudrama, Biography, Drama",Vidhu Vinod Chopra,https://www.imdb.com/title/tt23849204/?ref_=chttp_i_68
69,Aliens,1986,8.4,"Alien Invasion, Cyberpunk, Monster Horror",James Cameron,https://www.imdb.com/title/tt0090605/?ref_=chttp_i_69
70,Inglourious Basterds,2009,8.4,"Dark Comedy, Period Drama, Adventure",Quentin Tarantino,https://www.imdb.com/title/tt0361748/?ref_=chttp_i_70
71,The Dark Knight Rises,2012,8.4,"Action Epic, Epic, Superhero",Christopher Nolan,https://www.imdb.com/title/tt1345836/?ref_=chttp_i_71
72,Coco,2017,8.4,"Computer Animation, Supernatural Fantasy, Adventure",Lee Unkrich,https://www.imdb.com/title/tt2380307/?ref_=chttp_i_72
73,Amadeus,1984,8.4,"Costume Drama, Epic, Period Drama",Milos Forman,https://www.imdb.com/title/tt0086879/?ref_=chttp_i_73
74,Toy Story,1995,8.3,"Buddy Comedy, Computer Animation, Supernatural Fantasy",John Lasseter,https://www.imdb.com/title/tt0114709/?ref_=chttp_i_74
75,Avengers: Endgame,2019,8.4,"Space Sci-Fi, Superhero, Time Travel",Anthony Russo,https://www.imdb.com/title/tt4154796/?ref_=chttp_i_75
76,Good Will Hunting,1997,8.3,"Coming-of-Age, Psychological Drama, Drama",Gus Van Sant,https://www.imdb.com/title/tt0119217/?ref_=chttp_i_76
77,Oldboy,2003,8.3,"Dark Comedy, One-Person Army Action, Psychological Drama",Park Chan-wook,https://www.imdb.com/title/tt0364569/?ref_=chttp_i_77
78,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,"Dark Comedy, Farce, Political Drama",Stanley Kubrick,https://www.imdb.com/title/tt0057012/?ref_=chttp_i_78
79,Das Boot,1981,8.4,"Epic, War Epic, Drama",Wolfgang Petersen,https://www.imdb.com/title/tt0082096/?ref_=chttp_i_79
80,American Beauty,1999,8.3,"Psychological Drama, Tragedy, Drama",Sam Mendes,https://www.imdb.com/title/tt0169547/?ref_=chttp_i_80
81,Braveheart,1995,8.3,"Action Epic, Costume Drama, Epic",Mel Gibson,https://www.imdb.com/title/tt0112573/?ref_=chttp_i_81
82,Princess Mononoke,1997,8.3,"Action Epic, Adult Animation, Adventure Epic",Hayao Miyazaki,https://www.imdb.com/title/tt0119698/?ref_=chttp_i_82
83,Your Name.,2016,8.4,"Anime, Shōjo, Animation",Makoto Shinkai,https://www.imdb.com/title/tt5311514/?ref_=chttp_i_83
84,High and Low,1963,8.4,"Police Procedural, Crime, Drama",Akira Kurosawa,https://www.imdb.com/title/tt0057565/?ref_=chttp_i_84
85,The Chaos Class Failed the Class,1975,8.8,"Satire, Comedy",Ertem Egilmez,https://www.imdb.com/title/tt0252488/?ref_=chttp_i_85
86,3 Idiots,2009,8.4,"Buddy Comedy, Coming-of-Age, Quirky Comedy",Rajkumar Hirani,https://www.imdb.com/title/tt1187043/?ref_=chttp_i_86
87,Joker,2019,8.3,"Psychological Drama, Psychological Thriller, Tragedy",Todd Phillips,https://www.imdb.com/title/tt7286456/?ref_=chttp_i_87
88,Once Upon a Time in America,1984,8.3,"Dark Comedy, Epic, Gangster",Sergio Leone,https://www.imdb.com/title/tt0087843/?ref_=chttp_i_88
89,Capernaum,2018,8.4,"Coming-of-Age, Legal Drama, Drama",Nadine Labaki,https://www.imdb.com/title/tt8267604/?ref_=chttp_i_89
90,Singin' in the Rain,1952,8.3,"Classic Musical, Feel-Good Romance, Jukebox Musical",Stanley Donen,https://www.imdb.com/title/tt0045152/?ref_=chttp_i_90
91,Come and See,1985,8.3,"Epic, Period Drama, Tragedy",Elem Klimov,https://www.imdb.com/title/tt0091251/?ref_=chttp_i_91
92,Requiem for a Dream,2000,8.3,"Psychological Drama, Tragedy, Drama",Darren Aronofsky,https://www.imdb.com/title/tt0180093/?ref_=chttp_i_92
93,Toy Story 3,2010,8.3,"Computer Animation, Supernatural Fantasy, Urban Adventure",Lee Unkrich,https://www.imdb.com/title/tt0435761/?ref_=chttp_i_93
94,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Action Epic, Adventure Epic, Dark Fantasy",Richard Marquand,https://www.imdb.com/title/tt0086190/?ref_=chttp_i_94
95,The Hunt,2012,8.3,"Psychological Drama, Tragedy, Drama",Thomas Vinterberg,https://www.imdb.com/title/tt2106476/?ref_=chttp_i_95
96,Ikiru,1952,8.3,"Psychological Drama, Tragedy, Drama",Akira Kurosawa,https://www.imdb.com/title/tt0044741/?ref_=chttp_i_96
97,Eternal Sunshine of the Spotless Mind,2004,8.3,"Dark Romance, Psychological Drama, Drama",Michel Gondry,https://www.imdb.com/title/tt0338013/?ref_=chttp_i_97
98,2001: A Space Odyssey,1968,8.3,"Adventure Epic, Artificial Intelligence, Epic",Stanley Kubrick,https://www.imdb.com/title/tt0062622/?ref_=chttp_i_98
99,Reservoir Dogs,1992,8.3,"Gangster, Heist, Crime",Quentin Tarantino,https://www.imdb.com/title/tt0105236/?ref_=chttp_i_99
100,The Apartment,1960,8.3,"Farce, Holiday Comedy, Holiday Romance",Billy Wilder,https://www.imdb.com/title/tt0053604/?ref_=chttp_i_100
101,Incendies,2010,8.3,"Suspense Mystery, Drama, Mystery",Denis Villeneuve,https://www.imdb.com/title/tt1255953/?ref_=chttp_i_101
102,Lawrence of Arabia,1962,8.3,"Adventure Epic, Desert Adventure, Epic",David Lean,https://www.imdb.com/title/tt0056172/?ref_=chttp_i_102
103,Scarface,1983,8.3,"Drug Crime, Epic, Gangster",Brian De Palma,https://www.imdb.com/title/tt0086250/?ref_=chttp_i_103
104,Double Indemnity,1944,8.3,"Film Noir, Hard-boiled Detective, Crime",Billy Wilder,https://www.imdb.com/title/tt0036775/?ref_=chttp_i_104
105,Heat,1995,8.3,"Action Epic, Cop Drama, Epic",Michael Mann,https://www.imdb.com/title/tt0113277/?ref_=chttp_i_105
106,North by Northwest,1959,8.3,"Spy, Adventure, Drama",Alfred Hitchcock,https://www.imdb.com/title/tt0053125/?ref_=chttp_i_106
107,Citizen Kane,1941,8.3,"Epic, Period Drama, Tragedy",Orson Welles,https://www.imdb.com/title/tt0033467/?ref_=chttp_i_107
108,Up,2009,8.3,"Coming-of-Age, Computer Animation, Globetrotting Adventure",Pete Docter,https://www.imdb.com/title/tt1049413/?ref_=chttp_i_108
109,M,1931,8.3,"Psychological Thriller, Serial Killer, Suspense Mystery",Fritz Lang,https://www.imdb.com/title/tt0022100/?ref_=chttp_i_109
110,Full Metal Jacket,1987,8.2,"Dark Comedy, Period Drama, Drama",Stanley Kubrick,https://www.imdb.com/title/tt0093058/?ref_=chttp_i_110
111,Vertigo,1958,8.3,"Psychological Thriller, Tragedy, Mystery",Alfred Hitchcock,https://www.imdb.com/title/tt0052357/?ref_=chttp_i_111
112,Amélie,2001,8.3,"Feel-Good Romance, Quirky Comedy, Romantic Comedy",Jean-Pierre Jeunet,https://www.imdb.com/title/tt0211915/?ref_=chttp_i_112
113,A Separation,2011,8.3,"Legal Drama, Psychological Drama, Drama",Asghar Farhadi,https://www.imdb.com/title/tt1832382/?ref_=chttp_i_113
114,To Kill a Mockingbird,1962,8.3,"Legal Drama, Period Drama, Crime",Robert Mulligan,https://www.imdb.com/title/tt0056592/?ref_=chttp_i_114
115,A Clockwork Orange,1971,8.2,"Dark Comedy, Dystopian Sci-Fi, Crime",Stanley Kubrick,https://www.imdb.com/title/tt0066921/?ref_=chttp_i_115
116,Like Stars on Earth,2007,8.3,"Coming-of-Age, Drama, Family",Aamir Khan,https://www.imdb.com/title/tt0986264/?ref_=chttp_i_116
117,Die Hard,1988,8.2,"Disaster, One-Person Army Action, Action",John McTiernan,https://www.imdb.com/title/tt0095016/?ref_=chttp_i_117
118,The Sting,1973,8.3,"Caper, Comedy, Crime",George Roy Hill,https://www.imdb.com/title/tt0070735/?ref_=chttp_i_118
119,Indiana Jones and the Last Crusade,1989,8.2,"Adventure Epic, Desert Adventure, Globetrotting Adventure",Steven Spielberg,https://www.imdb.com/title/tt0097576/?ref_=chttp_i_119
120,Oppenheimer,2023,8.3,"Docudrama, Epic, Historical Epic",Christopher Nolan,https://www.imdb.com/title/tt15398776/?ref_=chttp_i_120
121,Metropolis,1927,8.3,"Dystopian Sci-Fi, Epic, Sci-Fi Epic",Fritz Lang,https://www.imdb.com/title/tt0017136/?ref_=chttp_i_121
122,Snatch,2000,8.2,"Caper, Dark Comedy, Gangster",Guy Ritchie,https://www.imdb.com/title/tt0208092/?ref_=chttp_i_122
123,1917,2019,8.2,"Epic, Period Drama, War Epic",Sam Mendes,https://www.imdb.com/title/tt8579674/?ref_=chttp_i_123
124,L.A Confidential,1997,8.2,"Conspiracy Thriller, Cop Drama, Hard-boiled Detective",Curtis Hanson,https://www.imdb.com/title/tt0119488/?ref_=chttp_i_124
125,Bicycle Thieves,1948,8.2,"Tragedy, Drama",Vittorio De Sica,https://www.imdb.com/title/tt0040522/?ref_=chttp_i_125
126,Downfall,2004,8.2,"Docudrama, Political Drama, Tragedy",Oliver Hirschbiegel,https://www.imdb.com/title/tt0363163/?ref_=chttp_i_126
127,Dangal,2016,8.3,"Coming-of-Age, Martial Arts, Action",Nitesh Tiwari,https://www.imdb.com/title/tt5074352/?ref_=chttp_i_127
128,The Wolf of Wall Street,2013,8.2,"Dark Comedy, Docudrama, Epic",Martin Scorsese,https://www.imdb.com/title/tt0993846/?ref_=chttp_i_128
129,Taxi Driver,1976,8.2,"Psychological Drama, Crime, Drama",Martin Scorsese,https://www.imdb.com/title/tt0075314/?ref_=chttp_i_129
130,Hamilton,2020,8.3,"Epic, Biography, Drama",Thomas Kail,https://www.imdb.com/title/tt8503618/?ref_=chttp_i_130
131,Green Book,2018,8.2,"Docudrama, Period Drama, Road Trip",Peter Farrelly,https://www.imdb.com/title/tt6966692/?ref_=chttp_i_131
132,Batman Begins,2005,8.2,"Action Epic, Epic, Superhero",Christopher Nolan,https://www.imdb.com/title/tt0372784/?ref_=chttp_i_132
133,For a Few Dollars More,1965,8.2,"One-Person Army Action, Spaghetti Western, Drama",Sergio Leone,https://www.imdb.com/title/tt0059578/?ref_=chttp_i_133
